user_id,session_date
user_0,2025-07-13
user_1,2025-07-12
user_1,2025-06-24
user_1,2025-07-01
user_2,2025-07-07
user_2,2025-07-10
user_2,2025-07-18
user_3,2025-07-15
user_3,2025-07-08
user_3,2025-07-14
user_3,2025-07-09
user_3,2025-06-27
user_3,2025-07-04
user_3,2025-07-03
user_3,2025-07-22
user_3,2025-07-07
user_4,2025-06-23
user_4,2025-07-12
user_4,2025-07-21
user_5,2025-06-24
user_5,2025-06-25
user_6,2025-07-16
user_6,2025-07-20
user_6,2025-07-07
user_6,2025-06-29
user_6,2025-06-28
user_6,2025-07-01
user_6,2025-07-12
user_6,2025-07-20
user_7,2025-06-30
user_8,2025-07-15
user_8,2025-06-25
user_8,2025-06-26
user_8,2025-07-18
user_8,2025-07-17
user_8,2025-07-07
user_8,2025-06-28
user_9,2025-06-25
user_9,2025-07-17
user_9,2025-07-13
user_9,2025-07-13
user_9,2025-07-06
user_10,2025-07-06
user_10,2025-06-26
user_10,2025-07-04
user_10,2025-07-09
user_11,2025-07-01
user_11,2025-06-25
user_11,2025-07-20
user_11,2025-07-05
user_11,2025-07-07
user_11,2025-07-10
user_11,2025-07-11
user_12,2025-06-28
user_13,2025-07-19
user_13,2025-07-19
user_13,2025-06-24
user_13,2025-07-16
user_13,2025-07-06
user_13,2025-06-28
user_13,2025-07-06
user_14,2025-07-13
user_14,2025-06-30
user_14,2025-07-22
user_14,2025-06-25
user_15,2025-07-22
user_15,2025-07-06
user_15,2025-07-19
user_16,2025-07-09
user_16,2025-07-17
user_16,2025-06-30
user_16,2025-07-16
user_17,2025-07-15
user_17,2025-07-14
user_17,2025-07-08
user_17,2025-07-17
user_17,2025-07-11
user_17,2025-07-06
user_18,2025-06-25
user_18,2025-07-02
user_18,2025-07-11
user_19,2025-07-20
user_19,2025-07-12
user_19,2025-07-05
user_19,2025-06-29
user_19,2025-07-06
user_19,2025-07-01
user_19,2025-07-19
user_19,2025-07-20
user_19,2025-07-15
user_20,2025-07-20
user_20,2025-07-11
user_20,2025-07-07
user_20,2025-07-12
user_20,2025-07-06
user_20,2025-07-16
user_20,2025-06-28
user_20,2025-07-13
user_20,2025-07-21
user_21,2025-06-30
user_21,2025-07-09
user_21,2025-07-22
user_21,2025-07-01
user_22,2025-07-16
user_23,2025-07-17
user_23,2025-07-06
user_23,2025-07-03
user_23,2025-07-13
user_24,2025-07-01
user_24,2025-07-19
user_24,2025-07-06
user_25,2025-06-26
user_25,2025-07-19
user_25,2025-06-26
user_25,2025-07-20
user_25,2025-06-30
user_25,2025-06-24
user_25,2025-07-01
user_25,2025-07-21
user_25,2025-07-06
user_26,2025-07-01
user_26,2025-07-16
user_26,2025-07-15
user_26,2025-07-08
user_26,2025-07-21
user_26,2025-07-22
user_27,2025-07-08
user_28,2025-07-03
